Serial_num,ortho,phon,cgram,islem,freqlemfilms2,freqfilms2,freqlemlivres,freqlivres,p_cvcv,cvcv,nbsyll,nblettres,Unnamed: 16,Unnamed: 17,freq_mism
19265,butiner,bytine,VER,1,0.49,0.16,1.69,0.41,CVCVCV,CVCVCVC,3,7,,,L_0
19476,cachalot,kaSalo,NOM,1,0.72,0.7,0.95,0.88,CVCVCV,CVCCVCVC,3,8,,,L_0
19610,cadencer,kad@se,VER,1,0.38,0.0,1.22,0.14,CVCVCV,CVCVCCVC,3,8,,,L_0
19762,cagoulé,kagule,ADJ,1,0.31,0.03,0.2,0.14,CVCVCV,CVCVVCV,3,7,,,L_0
20110,câliner,kaline,VER,1,0.81,0.45,1.22,0.41,CVCVCV,CVCVCVC,3,7,,,L_0
20216,calorie,kaloRi,NOM,1,1.43,0.15,0.95,0.0,CVCVCV,CVCVCVV,3,7,,,L_0
20585,cancéreux,k@seR2,ADJ,1,0.62,0.16,0.74,0.27,CVCVCV,CVCCVCVVC,3,9,,,L_0
21368,caribou,kaRibu,NOM,1,0.91,0.74,0.2,0.14,CVCVCV,CVCVCVV,3,7,,,L_0
21870,cassoulet,kasulE,NOM,1,0.52,0.52,1.62,1.62,CVCVCV,CVCCVVCVC,3,9,,,L_0
22403,célibat,seliba,NOM,1,1.75,1.75,1.35,1.35,CVCVCV,CVCVCVC,3,7,,,L_0
26617,cogiter,koZite,VER,1,0.7,0.43,0.54,0.07,CVCVCV,CVCVCVC,3,7,,,L_0
27122,colorant,koloR@,NOM,1,0.42,0.33,0.47,0.2,CVCVCV,CVCVCVCC,3,8,,,L_0
27157,coloris,koloRi,NOM,1,0.39,0.39,1.62,1.62,CVCVCV,CVCVCVC,3,7,,,L_0
27222,comateux,komat2,ADJ,1,0.55,0.41,1.08,0.95,CVCVCV,CVCVCVVC,3,8,,,L_0
27294,combiné,k§bine,ADJ,1,0.88,0.3,1.69,0.81,CVCVCV,CVCCVCV,3,7,,,L_0
27936,compiler,k§pile,VER,1,0.58,0.23,0.54,0.0,CVCVCV,CVCCVCVC,3,8,,,L_0
28157,composé,k§poze,NOM,1,0.7,0.35,1.08,0.88,CVCVCV,CVCCVCV,3,7,,,L_0
28820,condiment,k§dim@,NOM,1,0.68,0.11,0.61,0.07,CVCVCV,CVCCVCVCC,3,9,,,L_0
29468,conjuré,k§ZyRe,NOM,1,0.56,0.0,0.47,0.07,CVCVCV,CVCCVCV,3,7,,,L_0
29858,consigné,k§siNe,ADJ,1,0.72,0.19,0.27,0.14,CVCVCV,CVCCVCCV,3,8,,,L_0
30589,continu,k§tiny,NOM,1,0.72,0.61,0.14,0.14,CVCVCV,CVCCVCV,3,7,,,L_0
31948,corrigé,koRiZe,ADJ,1,0.38,0.05,1.08,0.41,CVCVCV,CVCCVCV,3,7,,,L_0
32008,corrompu,koR§py,NOM,1,1.02,0.52,0.61,0.54,CVCVCV,CVCCVCCV,3,8,,,L_0
32232,cotiser,kotize,VER,1,0.88,0.14,0.88,0.2,CVCVCV,CVCVCVC,3,7,,,L_0
32700,couronné,kuRone,ADJ,1,0.63,0.08,1.49,0.34,CVCVCV,CVVCVCCV,3,8,,,L_0
34669,culotté,kylote,ADJ,1,0.7,0.55,0.88,0.47,CVCVCV,CVCVCCV,3,7,,,L_0
34767,cumuler,kymyle,VER,1,0.65,0.07,1.35,0.2,CVCVCV,CVCVCVC,3,7,,,L_0
34867,cutané,kytane,ADJ,1,0.41,0.05,0.2,0.0,CVCVCV,CVCVCV,3,6,,,L_0
35588,débauché,deboSe,NOM,1,1.09,0.62,1.35,0.74,CVCVCV,CVCVVCCV,3,8,,,L_0
36015,débutant,debyt@,ADJ,1,1.65,0.77,1.01,0.47,CVCVCV,CVCVCVCC,3,8,,,L_0
36055,décadent,dekad@,ADJ,1,1.47,0.6,1.35,0.47,CVCVCV,CVCVCVCC,3,8,,,L_0
36085,décalé,dekale,ADJ,1,0.65,0.41,0.68,0.41,CVCVCV,CVCVCV,3,6,,,L_0
36092,décaler,dekale,VER,1,1.36,0.47,1.42,0.2,CVCVCV,CVCVCVC,3,7,,,L_0
36365,déchaîné,deSEne,NOM,1,0.35,0.18,1.42,0.61,CVCVCV,CVCCVVCV,3,8,,,L_0
37278,décousu,dekuzy,ADJ,1,0.49,0.2,1.62,0.54,CVCVCV,CVCVVCV,3,7,,,L_0
38210,dégagé,degaZe,NOM,1,0.41,0.41,0.41,0.27,CVCVCV,CVCVCV,3,6,,,L_0
38697,déguisé,degize,NOM,1,0.69,0.23,0.61,0.47,CVCVCV,CVCVVCV,3,7,,,L_0
38790,déjanté,deZ@te,ADJ,1,0.58,0.43,0.2,0.2,CVCVCV,CVCVCCV,3,7,,,L_0
38975,délégué,delege,ADJ,1,0.58,0.25,1.76,1.49,CVCVCV,CVCVCVV,3,7,,,L_0
39847,démoder,demode,VER,1,1.03,0.0,1.55,0.07,CVCVCV,CVCVCVC,3,7,,,L_0
40013,démuni,demyni,NOM,1,0.42,0.05,1.28,0.74,CVCVCV,CVCVCV,3,6,,,L_0
40153,dénommé,denome,ADJ,1,0.85,0.48,1.22,0.81,CVCVCV,CVCVCCV,3,7,,,L_0
40516,dépendant,dep@d@,ADJ,1,1.81,0.56,0.95,0.34,CVCVCV,CVCVCCVCC,3,9,,,L_0
41125,déraison,deREz§,NOM,1,0.36,0.36,1.35,1.15,CVCVCV,CVCVVCVC,3,8,,,L_0
41252,dérivé,deRive,ADJ,1,0.57,0.03,0.27,0.0,CVCVCV,CVCVCV,3,6,,,L_0
41343,déroger,deRoZe,VER,1,0.46,0.18,1.01,0.34,CVCVCV,CVCVCVC,3,7,,,L_0
42062,designer,deziNe,NOM,1,0.57,0.51,0.0,0.0,CVCVCV,CVCVCCVC,3,8,,,L_0
42380,désosser,dezose,VER,1,0.59,0.13,1.55,0.34,CVCVCV,CVCVCCVC,3,8,,,L_0
42682,détaché,detaSe,NOM,1,0.34,0.25,0.88,0.74,CVCVCV,CVCVCCV,3,7,,,L_0
42943,déterré,deteRe,NOM,1,0.4,0.3,0.07,0.07,CVCVCV,CVCVCCV,3,7,,,L_0
43026,détoner,detone,VER,1,0.37,0.3,0.2,0.0,CVCVCV,CVCVCVC,3,7,,,L_0
43033,détonner,detone,VER,1,0.32,0.1,1.55,0.2,CVCVCV,CVCVCCVC,3,8,,,L_0
44002,diffamer,difame,VER,1,0.81,0.12,0.54,0.07,CVCVCV,CVCCVCVC,3,8,,,L_0
44486,dirigé,diRiZe,ADJ,1,0.32,0.07,1.22,0.27,CVCVCV,CVCVCV,3,6,,,L_0
45161,dissolu,disoly,ADJ,1,0.82,0.12,0.68,0.07,CVCVCV,CVCCVCV,3,7,,,L_0
45532,divisé,divize,ADJ,1,0.66,0.41,1.62,0.41,CVCVCV,CVCVCV,3,6,,,L_0
59700,fabuler,fabyle,VER,1,0.42,0.02,0.34,0.2,CVCVCV,CVCVCVC,3,7,,,L_0
60190,fanfaron,f@faR§,ADJ,1,0.39,0.23,1.22,0.68,CVCVCV,CVCCVCVC,3,8,,,L_0
60925,féminin,femin5,NOM,1,1.09,1.08,1.49,1.35,CVCVCV,CVCVCVC,3,7,,,L_0
61698,figuré,figyRe,ADJ,1,0.57,0.56,1.08,0.95,CVCVCV,CVCVCV,3,6,,,L_0
62070,fissurer,fisyRe,VER,1,0.69,0.06,1.76,0.14,CVCVCV,CVCCVCVC,3,8,,,L_0
65550,gabarit,gabaRi,NOM,1,0.33,0.3,1.82,1.62,CVCVCV,CVCVCVC,3,7,,,L_0
65808,galérer,galeRe,VER,1,0.91,0.36,0.74,0.2,CVCVCV,CVCVCVC,3,7,,,L_0
65898,galopant,galop@,ADJ,1,0.31,0.08,1.89,0.54,CVCVCV,CVCVCVCC,3,8,,,L_0
