bad_cp,bad_as,decision,,ortho,phon,cgram,islem,freqlemfilms2,freqfilms2,freqlemlivres,freqlivres,p_cvcv,cvcv,nbsyll,nblettres,,
,x,x,102751,plèbe,plEb,NOM,1,0.7,0.7,0.41,0.41,CCVC,CCVCV,1,5,,
x,x,x,102986,ploc,plOk,ONO,1,0.65,0.65,0.61,0.61,CCVC,CCVC,1,4,,
x,x,x,103068,plouc,pluk,ADJ,1,1.18,0.94,0.61,0.47,CCVC,CCVVC,1,5,,
,x,x,103072,plouf,pluf,ONO,1,1.31,1.31,1.55,1.55,CCVC,CCVVC,1,5,,
x,x,x,104135,porque,pORk,NOM,1,0.32,0.32,0,0,CVCC,CVCCVV,1,6,,
x,,x,104558,post,pOst,ADV,1,0.69,0.69,0.41,0.41,CVCC,CVCC,1,4,,
x,x,x,106699,probe,pROb,ADJ,1,0.38,0.36,0.2,0.14,CCVC,CCVCV,1,5,,
x,x,x,107935,prout,pRut,NOM,1,0.32,0.25,0,0,CCVC,CCVVC,1,5,,
,x,,108086,prude,pRyd,ADJ,1,0.52,0.5,0.81,0.61,CCVC,CCVCV,1,5,,
x,x,x,108087,prude,pRyd,NOM,1,0.51,0.31,0.47,0.34,CCVC,CCVCV,1,5,,
x,x,x,108464,pulque,pylk,NOM,1,0.6,0.6,0,0,CVCC,CVCCVV,1,6,,
,,,108600,purge,pyRZ,NOM,1,1.34,0.5,1.89,1.35,CVCC,CVCCV,1,5,,
,x,x,108722,putsch,putS,NOM,1,1.46,1.46,1.55,1.55,CVCC,CVCCCC,1,6,,
,x,x,111048,rapt,Rapt,NOM,1,1.31,1.13,1.62,1.62,CVCC,CVCC,1,4,,
x,x,x,121798,rouste,Rust,NOM,1,0.34,0.32,0.41,0.34,CVCC,CVVCCV,1,6,,
,,,122390,sacre,sakR,NOM,1,0.75,0.73,0.74,0.61,CVCC,CVCCV,1,5,,
x,x,x,123217,sarde,saRd,ADJ,1,0.31,0.31,0,0,CVCC,CVCCV,1,5,,
x,x,x,123744,sax,saks,NOM,1,0.36,0.36,0.14,0.14,CVCC,CVC,1,3,,
,x,x,123748,sbire,sbiR,NOM,1,1.35,0.43,1.62,0.07,CCVC,CCVCV,1,5,,
,x,x,123952,schisme,Sizm,NOM,1,0.32,0.09,0.81,0.61,CVCC,CCCVCCV,1,7,,
x,x,x,123985,schnock,SnOk,NOM,1,1.06,0.93,0.81,0.81,CCVC,CCCCVCC,1,7,,
x,x,x,124123,scone,skon,NOM,1,0.45,0.11,0.2,0,CCVC,CCVCV,1,5,,
,x,x,124130,scope,skOp,NOM,1,0.41,0.36,0.07,0.07,CCVC,CCVCV,1,5,,
,x,x,124701,self,sElf,NOM,1,0.67,0.67,0.34,0.27,CVCC,CVCC,1,4,,
,,,125851,sigle,sigl,NOM,1,0.7,0.56,1.62,1.01,CVCC,CVCCV,1,5,,
,x,x,126375,skin,skin,NOM,1,0.93,0.44,0.14,0.14,CCVC,CCVC,1,4,,
,x,x,126425,smash,smaS,NOM,1,0.4,0.4,0.2,0.2,CCVC,CCVCC,1,5,,
,x,x,126440,snack,snak,NOM,1,1.21,1.06,0.95,0.74,CCVC,CCVCC,1,5,,
,,,126483,snob,snOb,NOM,1,1.35,0.96,1.82,1.15,CCVC,CCVC,1,4,,
,x,x,126590,soft,sOft,ADJ,1,0.79,0.79,0.2,0.2,CVCC,CVCC,1,4,,
,x,x,128562,spoon,spun,NOM,1,0.31,0.31,0,0,CCVC,CCVVC,1,5,,
,,,128566,spore,spOR,NOM,1,0.91,0.01,0.14,0,CCVC,CCVCV,1,5,,
,x,x,128686,staff,staf,NOM,1,1.39,1.36,0.54,0.47,CCVC,CCVCC,1,5,,
,x,x,128760,stase,staz,NOM,1,1.23,1.23,0.07,0.07,CCVC,CCVCV,1,5,,
,x,x,128945,stick,stik,NOM,1,0.78,0.54,0.95,0.95,CCVC,CCVCC,1,5,,
,x,x,129080,stout,stut,NOM,1,0.45,0.45,0.14,0.14,CCVC,CCVVC,1,5,,
,,,129181,strie,stRi,NOM,1,0.73,0.05,1.82,0.07,CCCV,CCCVV,1,5,,
,,,131806,tacle,takl,NOM,1,0.38,0.38,0.07,0.07,CVCC,CVCCV,1,5,,
,,,131957,talc,talk,NOM,1,1.4,1.4,1.49,1.49,CVCC,CVCC,1,4,,
,x,x,132469,targe,taRZ,NOM,1,0.4,0.4,0,0,CVCC,CVCCV,1,5,,
,x,x,132806,tchèque,tSEk,NOM,1,0.81,0.48,1.42,0.74,CCVC,CCCVCVV,1,7,,
,x,x,133820,tex,tEks,NOM,1,1.7,1.7,0.14,0.14,CVCC,CVC,1,3,,
,,,133934,thermes,tERm,NOM,1,0.55,0.55,0.41,0.41,CVCC,CCVCCVC,1,7,,
,x,x,134145,tilt,tilt,NOM,1,1.11,1.11,1.55,1.49,CVCC,CVCC,1,4,,
,,,135439,tourte,tuRt,NOM,1,1.15,1.03,0.74,0.54,CVCC,CVVCCV,1,6,,
,,,136524,traque,tRak,NOM,1,0.73,0.73,0.68,0.61,CCVC,CCVCVV,1,6,,
,,,137068,triche,tRiS,NOM,1,1.91,1.91,0.47,0.41,CCVC,CCVCCV,1,6,,
