,ortho,phon,cgram,islem,freqlemfilms2,freqfilms2,freqlemlivres,freqlivres,p_cvcv,cvcv,nbsyll,nblettres
135214,toujours,tuZuR,ADV,1,1072.36,1072.36,1093.78,1093.78,CVCVC,CVVCVVCC,2,8
135334,tournant,tuRn@,NOM,1,3.44,3.38,20.34,18.31,CVCCV,CVVCCVCC,2,8
135352,tournée,tuRne,NOM,1,20.57,18.64,23.85,18.72,CVCCV,CVVCCVV,2,7
135371,tourner,tuRne,VER,1,204.15,51.05,377.09,68.78,CVCCV,CVVCCVC,2,7
135587,trace,tRas,NOM,1,60.18,29.2,80.27,39.32,CCVC,CCVCV,1,5
135983,tranche,tR@S,NOM,1,6.95,5.28,21.82,11.08,CCVC,CCVCCCV,1,7
136725,treize,tREz,ADJ:num,1,7.0,7.0,20.95,20.95,CCVC,CCVVCV,1,6
136876,trente,tR@t,ADJ:num,1,18.91,18.91,79.12,79.12,CCVC,CCVCCV,1,6
136995,trêve,tREv,NOM,1,6.69,6.68,11.42,11.15,CCVC,CCVCV,1,5
137604,tronche,tR§S,NOM,1,8.92,8.25,25.68,22.57,CCVC,CCVCCCV,1,7
137625,trône,tRon,NOM,1,14.32,13.99,12.03,11.49,CCVC,CCVCV,1,5
137812,troupe,tRup,NOM,1,30.93,10.3,105.41,32.3,CCVC,CCVVCV,1,6
137922,truc,tRyk,NOM,1,381.34,274.94,87.77,51.15,CCVC,CCVC,1,4
138000,tsar,tsaR,NOM,1,14.3,11.65,8.85,6.82,CCVC,CCVC,1,4
138162,tunnel,tynEl,NOM,1,19.24,15.88,14.59,12.3,CVCVC,CVCCVC,2,6
139057,vaincre,v5kR,VER,1,27.84,13.71,25.68,13.31,CVCC,CVVCCCV,1,7
139102,vaisselle,vEsEl,NOM,1,12.11,12.1,25.95,24.93,CVCVC,CVVCCVCCV,2,9
139138,valeur,val9R,NOM,1,45.4,32.48,52.3,40.74,CVCVC,CVCVVC,2,6
139161,valise,valiz,NOM,1,50.99,33.21,70.34,47.43,CVCVC,CVCVCV,2,6
139231,vampire,v@piR,NOM,1,27.27,15.29,3.24,1.82,CVCVC,CVCCVCV,2,7
139330,vapeur,vap9R,NOM,1,8.02,6.17,26.76,19.12,CVCVC,CVCVVC,2,6
139468,vaste,vast,ADJ,1,10.32,8.44,71.76,55.61,CVCC,CVCCV,1,5
139793,vendeur,v@d9R,NOM,1,16.84,11.3,18.65,4.93,CVCVC,CVCCVVC,2,7
