,ortho,phon,cgram,islem,freqlemfilms2,freqfilms2,freqlemlivres,freqlivres,p_cvcv,cvcv,nbsyll,nblettres
65514,futur,fytyR,ADJ,1,23.2,9.41,36.35,13.92,CVCVC,CVCVC,2,5
65592,gâchette,gaSEt,NOM,1,5.09,4.89,1.82,1.82,CVCVC,CVCCVCCV,2,8
65606,gadjo,gadZo,NOM,1,0.54,0.54,0.0,0.0,CVCCV,CVCCV,2,5
65699,gagneur,gaN9R,NOM,1,0.78,0.04,0.74,0.0,CVCVC,CVCCVVC,2,7
65825,galette,galEt,NOM,1,1.86,0.67,6.42,4.26,CVCVC,CVCVCCV,2,7
65902,galope,galOp,NOM,1,0.56,0.56,0.34,0.34,CVCVC,CVCVCV,2,6
65997,gamelle,gamEl,NOM,1,1.64,1.29,13.72,8.45,CVCVC,CVCVCCV,2,7
66169,gardé,gaRde,ADJ,1,2.64,1.37,3.72,1.22,CVCCV,CVCCV,2,5
66236,gardon,gaRd§,NOM,1,1.06,0.44,1.08,0.41,CVCCV,CVCCVC,2,6
66245,garenne,gaREn,NOM,1,0.66,0.64,1.01,0.68,CVCVC,CVCVCCV,2,7
66306,garni,gaRni,ADJ,1,0.66,0.26,6.01,2.36,CVCCV,CVCCV,2,5
66331,garrigue,gaRig,NOM,1,0.54,0.54,1.96,1.49,CVCVC,CVCCVCVV,2,8
66344,gascon,gask§,ADJ,1,0.58,0.47,0.2,0.07,CVCCV,CVCCVC,2,6
66579,gazelle,gazEl,NOM,1,2.39,1.98,3.92,2.77,CVCVC,CVCVCCV,2,7
66729,gémir,ZemiR,VER,1,9.19,2.38,36.89,8.18,CVCVC,CVCVC,2,5
66764,gencive,Z@siv,NOM,1,1.35,0.18,4.26,0.81,CVCVC,CVCCVCV,2,7
66877,gêneur,ZEn9R,NOM,1,0.95,0.85,1.01,0.54,CVCVC,CVCVVC,2,6
66906,génisse,Zenis,NOM,1,0.83,0.69,1.76,1.42,CVCVC,CVCVCCV,2,7
