bad_cp,bad_as,decision,,ortho,phon,cgram,islem,freqlemfilms2,freqfilms2,freqlemlivres,freqlivres,p_cvcv,cvcv,nbsyll,nblettres,,
,x,x,104612,potasser,potase,VER,1,0.83,0.17,0.81,0.14,CVCVCV,CVCVCCVC,3,8,,
,,,104664,potiron,potiR§,NOM,1,1.08,0.99,0.95,0.61,CVCVCV,CVCVCVC,3,7,,
,x,x,108648,puritain,pyRit5,NOM,1,0.53,0.28,0.81,0.07,CVCVCV,CVCVCVVC,3,8,,
,,,109737,racoler,Rakole,VER,1,0.59,0.16,1.42,0.54,CVCVCV,CVCVCVC,3,7,,
,,,110230,raisonné,REzone,ADJ,1,0.51,0.5,0.68,0.27,CVCVCV,CVVCVCCV,3,8,,
,,,110419,rallonger,Ral§Ze,VER,1,1.45,0.56,1.35,0.27,CVCVCV,CVCCVCCVC,3,9,,
x,x,x,110445,ramadan,Ramad@,NOM,1,1.07,1.07,0.95,0.95,CVCVCV,CVCVCVC,3,7,,
,,,110497,ramassis,Ramasi,NOM,1,1.5,1.5,1.62,1.62,CVCVCV,CVCVCCVC,3,8,,
,,,110612,ramolli,Ramoli,ADJ,1,0.44,0.17,1.08,0.14,CVCVCV,CVCVCCV,3,7,,
x,x,x,110623,ramollo,Ramolo,ADJ,1,0.32,0.23,0.27,0.2,CVCVCV,CVCVCCV,3,7,,
,,,110634,ramoner,Ramone,VER,1,0.6,0.17,1.55,0.61,CVCVCV,CVCVCVC,3,7,,
x,x,x,110896,rapidos,Rapido,ADV,1,0.53,0.53,1.89,1.89,CVCVCV,CVCVCVC,3,7,,
,,,112471,réchauffé,ReSofe,ADJ,1,1.04,0.73,1.15,0.68,CVCVCV,CVCCVVCCV,3,9,,
,,,113552,récurrent,RekyR@,ADJ,1,1.38,0.56,0.41,0.07,CVCVCV,CVCVCCVCC,3,9,,
,,,114618,réfuter,Refyte,VER,1,1.46,0.89,1.69,0.81,CVCVCV,CVCVCVC,3,7,,
,x,x,114761,régenter,ReZ@te,VER,1,0.32,0.16,1.22,0.47,CVCVCV,CVCVCCVC,3,8,,
,,,115034,réguler,Regyle,VER,1,0.61,0.28,0.14,0.14,CVCVCV,CVCVCVC,3,7,,
,,,115858,rembarrer,R@baRe,VER,1,0.68,0.25,0.88,0.34,CVCVCV,CVCCVCCVC,3,9,,
,x,x,116163,rempiler,R@pile,VER,1,0.75,0.2,1.15,0.54,CVCVCV,CVCCVCVC,3,8,,
,x,x,116643,rengainer,R@gene,VER,1,0.6,0.05,1.42,0.2,CVCVCV,CVCCVVCVC,3,9,,
,x,x,118199,résident,Rezid@,ADJ,1,0.46,0.24,0.14,0.07,CVCVCV,CVCVCVCC,3,8,,
