Serial_num,ortho,phon,cgram,islem,freqlemfilms2,freqfilms2,freqlemlivres,freqlivres,p_cvcv,cvcv,nbsyll,nblettres,freq_mism,freq,mismatch,freq_sum,freq_cat
82821,local,lokal,ADJ,1,18.11,6.05,22.84,6.76,CVCVC,CVCVC,2,5,H_1,3.984529696214894,1,53.76,H
131291,suspect,syspE,ADJ,1,12.95,8.44,16.82,7.77,CVCCV,CVCCVCC,2,7,H_1,3.8282065193350356,1,45.980000000000004,H
133588,terreur,tER9R,NOM,1,15.18,13.87,27.09,23.78,CVCVC,CVCCVVC,2,7,H_1,4.381026134340298,1,79.92,H
131096,surtout,syRtu,ADV,1,148.66,148.66,291.49,291.49,CVCCV,CVCCVVC,2,7,H_1,6.78026275846686,1,880.3,H
61700,figure,figyR,NOM,1,25.18,22.49,95.34,77.7,CVCVC,CVCVCV,2,6,H_1,5.396849622612283,1,220.70999999999998,H
81118,laquelle,lakEl,PRO:int,1,68.94,1.99,185.27,2.91,CVCVC,CVCVVCCV,2,8,H_1,5.557252681960304,1,259.11,H
108539,punir,pyniR,VER,1,41.7,13.82,20.14,8.45,CVCVC,CVCVC,2,5,H_1,4.432125465974346,1,84.11,H
32617,courage,kuRaZ,NOM,1,70.73,70.7,70.34,69.8,CVCVC,CVVCVCV,2,7,H_1,5.640381084517819,1,281.57,H
131684,tableau,tablo,NOM,1,50.11,37.8,90.0,57.84,CVCCV,CVCCVVV,2,7,H_1,5.462771921513567,1,235.75,H
63203,forcer,fORse,VER,1,64.64,16.33,75.41,18.04,CVCCV,CVCCVC,2,6,H_1,5.161466183798839,1,174.42,H
21644,carton,kaRt§,NOM,1,16.01,10.92,44.86,34.8,CVCCV,CVCCVC,2,6,H_1,4.668989698701045,1,106.58999999999999,H
133277,tendance,t@d@s,NOM,1,12.98,10.95,20.88,14.26,CVCVC,CVCCVCCV,2,8,H_1,4.078723181319144,1,59.07,H
27405,commande,kom@d,NOM,1,31.36,19.41,18.72,12.64,CVCVC,CVCCVCCV,2,8,H_1,4.408303357752101,1,82.13,H
26808,colère,kolER,NOM,1,68.9,67.91,100.07,92.77,CVCVC,CVCVCV,2,6,H_1,5.798031485559308,1,329.65,H
114785,régime,ReZim,NOM,1,19.43,18.52,39.73,36.69,CVCVC,CVCVCV,2,6,H_1,4.7394388067931255,1,114.37,H
122683,salaire,salER,NOM,1,26.43,22.99,12.5,8.92,CVCVC,CVCVVCV,2,7,H_1,4.260423812914633,1,70.84,H
89874,montrer,m§tRe,VER,1,327.33,136.2,276.55,81.15,CVCCV,CVCCCVC,2,7,H_1,6.710803216382034,1,821.2299999999999,H
87135,mensonge,m@s§Z,NOM,1,61.05,33.64,35.41,21.89,CVCVC,CVCCVCCV,2,8,H_1,5.02381472920837,1,151.99,H
65514,futur,fytyR,ADJ,1,23.2,9.41,36.35,13.92,CVCVC,CVCVC,2,5,H_1,4.417393778511173,1,82.88000000000001,H
121823,routine,Rutin,NOM,1,12.14,11.67,12.77,9.53,CVCVC,CVVCVCV,2,7,H_1,3.8310298462186143,1,46.11,H
114864,régler,Regle,VER,1,85.81,42.27,54.19,22.36,CVCCV,CVCCVC,2,6,H_1,5.321203470334738,1,204.63,H
37713,défaire,defER,VER,1,12.3,5.26,32.23,10.14,CVCVC,CVCVVCV,2,7,H_1,4.093177214470094,1,59.93,H
83507,lunette,lynEt,NOM,1,33.33,1.71,75.27,7.43,CVCVC,CVCVCCV,2,7,H_1,4.768478803600115,1,117.74000000000001,H
91899,navire,naviR,NOM,1,21.98,15.83,50.2,28.04,CVCVC,CVCVCV,2,6,H_1,4.754021132720446,1,116.05000000000001,H
135371,tourner,tuRne,VER,1,204.15,51.05,377.09,68.78,CVCCV,CVVCCVC,2,7,H_1,6.552607739395825,1,701.0699999999999,H
97636,parler,paRle,VER,1,1970.55,728.02,1086.01,341.82,CVCCV,CVCCVC,2,6,H_1,8.32516063512708,1,4126.4,H
99591,percer,pERse,VER,1,15.77,6.19,42.03,11.22,CVCCV,CVCCVC,2,6,H_1,4.320284200838312,1,75.21000000000001,H
122678,salade,salad,NOM,1,21.8,15.88,24.26,15.41,CVCVC,CVCVCV,2,6,H_1,4.348340577019075,1,77.35,H
125306,serpent,sERp@,NOM,1,32.2,20.91,21.08,13.24,CVCCV,CVCCVCC,2,7,H_1,4.470838473192799,1,87.42999999999999,H
46204,doubler,duble,VER,1,15.29,4.65,22.84,4.39,CVCCV,CVVCCVC,2,7,H_1,3.8537580972961702,1,47.17,H
15422,bipède,bipEd,NOM,1,0.78,0.58,0.47,0.2,CVCVC,CVCVCV,2,6,L_1,0.7080357930536959,1,2.03,L
24405,chiffrer,SifRe,VER,1,0.64,0.19,1.01,0.27,CVCCV,CCVCCCVC,2,8,L_1,0.7466879474879753,1,2.1100000000000003,L
85989,masseur,mas9R,NOM,1,1.94,0.7,1.69,1.15,CVCVC,CVCCVVC,2,7,L_1,1.7011051009599243,1,5.48,L
140529,vexant,vEks@,ADJ,1,0.4,0.39,1.01,0.74,CVCCV,CVCVCC,2,6,L_1,0.9321640810304452,1,2.54,L
127382,soufflé,sufle,NOM,1,1.33,0.86,1.22,1.22,CVCCV,CVVCCCV,2,7,L_1,1.5325568680981427,1,4.63,L
81497,lécheur,leS9R,NOM,1,0.47,0.3,0.34,0.14,CVCVC,CVCCVVC,2,7,L_1,0.22314355131420976,1,1.25,L
139245,vandale,v@dal,NOM,1,1.14,0.33,0.88,0.47,CVCVC,CVCCVCV,2,7,L_1,1.0367368849500223,1,2.8200000000000003,L
69768,guépard,gepaR,NOM,1,0.44,0.27,0.74,0.34,CVCVC,CVVCVCC,2,7,L_1,0.5822156198526637,1,1.79,L
82664,litige,litiZ,NOM,1,0.78,0.57,1.42,0.74,CVCVC,CVCVCV,2,6,L_1,1.2556160374777743,1,3.51,L
130735,surfait,syRfE,ADJ,1,0.46,0.38,0.34,0.14,CVCCV,CVCCVVC,2,7,L_1,0.2776317365982797,1,1.3200000000000003,L
59892,fadeur,fad9R,NOM,1,0.32,0.32,1.82,1.49,CVCVC,CVCVVC,2,6,L_1,1.3737155789130306,1,3.95,L
84379,malaise,malEz,ADJ,1,0.41,0.38,1.42,1.42,CVCVC,CVCVVCV,2,7,L_1,1.2892326482767593,1,3.63,L
124597,segment,sEgm@,NOM,1,0.69,0.36,1.42,0.88,CVCCV,CVCCVCC,2,7,L_1,1.2089603458369749,1,3.3499999999999996,L
31603,coquard,kokaR,NOM,1,0.34,0.3,0.41,0.34,CVCVC,CVCVVCC,2,7,L_1,0.32930374714260047,1,1.3900000000000001,L
134734,tonique,tonik,ADJ,1,0.4,0.35,1.82,1.55,CVCVC,CVCVCVV,2,7,L_1,1.415853163361435,1,4.12,L
68091,gothique,gotik,NOM,1,0.66,0.57,1.49,1.35,CVCVC,CVCCVCVV,2,8,L_1,1.4036429994545037,1,4.07,L
63732,fourchu,fuRSy,ADJ,1,0.75,0.17,1.42,0.27,CVCCV,CVVCCCV,2,7,L_1,0.959350221334602,1,2.61,L
34980,cynique,sinik,NOM,1,1.01,0.92,1.69,1.15,CVCVC,CVCVCVV,2,7,L_1,1.5623463049002497,1,4.77,L
134449,titrer,titRe,VER,1,1.75,0.03,1.08,0.34,CVCCV,CVCCVC,2,6,L_1,1.1631508098056809,1,3.2,L
90526,moulage,mulaZ,NOM,1,0.8,0.53,1.15,0.54,CVCVC,CVVCVCV,2,7,L_1,1.1052568313867783,1,3.02,L
133744,têtard,tEtaR,NOM,1,0.86,0.68,1.89,0.34,CVCVC,CVCVCC,2,6,L_1,1.3270750014599193,1,3.7699999999999996,L
134454,titré,titRe,ADJ,1,0.46,0.28,0.61,0.2,CVCCV,CVCCV,2,5,L_1,0.4382549309311553,1,1.55,L
23162,changeur,S@Z9R,NOM,1,0.47,0.42,0.61,0.41,CVCVC,CCVCCVVC,2,8,L_1,0.6471032420585384,1,1.91,L
99697,perdant,pERd@,ADJ,1,1.87,1.07,1.42,1.01,CVCCV,CVCCVCC,2,7,L_1,1.6808279085207734,1,5.37,L
134420,titane,titan,NOM,1,1.69,1.69,0.2,0.2,CVCVC,CVCVCV,2,6,L_1,1.3297240096314964,1,3.7800000000000002,L
87717,métis,metis,ADJ,1,0.56,0.34,0.95,0.41,CVCVC,CVCVC,2,5,L_1,0.8153648132841946,1,2.2600000000000002,L
84662,mammaire,mamER,ADJ,1,0.58,0.2,0.14,0.07,CVCVC,CVCCVVCV,2,8,L_1,-0.01005033585350145,1,0.99,L
63248,forfait,fORfE,VER,1,0.94,0.94,0.68,0.68,CVCCV,CVCCVVC,2,7,L_1,1.1755733298042381,1,3.24,L
66877,gêneur,ZEn9R,NOM,1,0.95,0.85,1.01,0.54,CVCVC,CVCVVC,2,6,L_1,1.2089603458369749,1,3.3499999999999996,L
13524,barème,baREm,NOM,1,0.31,0.17,0.54,0.34,CVCVC,CVCVCV,2,6,L_1,0.3074846997479607,1,1.36,L
23339,charade,SaRad,NOM,1,0.53,0.12,0.74,0.27,CVCVC,CCVCVCV,2,7,L_1,0.506817602368452,1,1.6600000000000001,L
99663,perçu,pERsy,ADJ,1,0.31,0.09,1.35,0.47,CVCCV,CVCCV,2,5,L_1,0.797507195884188,1,2.2199999999999998,L
20246,calquer,kalke,VER,1,0.36,0.03,1.35,0.2,CVCCV,CVCCVVC,2,7,L_1,0.6626879730752369,1,1.9400000000000002,L
