Timestamp,Est-ce que le français est votre langue maternelle ?,Quel est votre sexe ?,Quel est votre âge ?,Quelle est votre nationalité ?,Quel est le plus haut diplôme que vous ayez obtenu?,"Les jours ensoleillés, Jacques se rend au parc pour promener son",Émilie l’avait détestée dès le moment où elles s'étaient,"Cette jupe est trop vieille, son tissu est très",Le magicien fit tomber le rideau et la femme avait,Il voulait travailler pour mon entreprise et n'a pas hésité à signer le,La fillette a reçu ce cadeau pour son,Hugo vivait dans une cabane qu'il avait lui-même,La riche héritière portait un collier de,"Pour rendre son café moins amer, elle a mis un morceau de",Il lui a mis un couteau sous la,Bernard l’avait accueilli avec un thé à la,Elle a emporté son nouvel appareil pour prendre de belles,Son ami a toujours adoré manger des,Nous sommes descendu de la voiture et avons vu un bel,"Nous avons enfin fini nos examens, et nous allons prendre le","En été à la mer, les enfants jouaient sur la","Depuis trois ans, elle travaillait dans l'","L'après-midi, il su pourquoi il avait","Comme ses voisins, elle a elle-même repeint sa","A la fin des vacances, Eloïse décida de retourner dans la",Georges pense que cette histoire a un,Elle n'est encore jamais passée devant la,Il aime le commerce et a décidé d'ouvrir un magasin de,La vieille femme met dans son sac un petit briquet et une,Dès son arrivée dans le grand magasin elle s'est acheté un
3/26/2022 16:12:32,Oui,Femme,46 - 55,La France,Master ou équivalent,Chien,Rencontrées,Usé,Disparu,Contrat,Anniversaire ,Fabriqué,Perle,Sucre,Gorge ,Menthe ,Photos,Huîtres ,Oiseau ,Train,Plage,Habillement,Eu mal ,Façade ,Cité,Truc qui cloche ,Maison ,Bricolage ,Boussole ,Chapeau 
3/26/2022 16:27:50,Oui,Femme,18 - 25,La France,Master ou équivalent,Chien,Vues,Abîmé ,Fini,Contrat,Anniversaire ,Construite ,Perles,Sucre,Gorge,Main,Photos ,Cerises,Étalon ,Temps,Plage,Usine,Perdu,Toiture ,Maison,Tournant,Porte,chaussures ,Cigarette ,Pain
3/26/2022 16:33:48,Oui,Homme,18 - 25,La France,Master ou équivalent,Chien ,Vues,Abîmé ,Disparu,Contrat ,Anniversaire ,Construite ,Diamants ,Sucre ,Gorge ,Menthe ,Photos ,Huîtres ,Étalon ,Thé ,Plage ,Ombre ,Échoué ,Chambre ,Ferme ,Problème ,Boulangerie ,Frippes,Écharpe ,Bracelet 
3/26/2022 16:34:15,Oui,Homme,56 - 65,La Belgique,"Baccalauréat général, technologique, professionnel ou équivalent",Chien,Rencontrées,Moche,Disparue,Contrat,Anniversaire,Construite,Perles,Sucre,Gorge ,Menthe,Photos,Bonbons,Animal,Train,Digue,Hôpital ,Rate,Maison,Ville,Problème ,Maison ,velos,Boite,Parfum
3/26/2022 16:51:14,Oui,Femme,56 - 65,La Belgique,"BTS, DUT, licence ou équivalent",Chien,Rencontrées ,Abîmé ,Disparue,Contrat,Anniversaire ,Construite,Perles,Sucre,Gorge,Menthe,Photos,Poires,Oiseau,Train,Plage,Aéronautique ,Échoué ,Maison,Capitale,Trou,Mer,Prêt à porter,Pipe,Pantalon
3/26/2022 16:55:16,Oui,Homme,18 - 25,La France,"BTS, DUT, licence ou équivalent",Chien,Disputées,Abîmé,Disparu,Contrat,Anniversaire,Construite,Nacre,Sucre,Gorge,Camomille,Photos,Cacahuètes,Iguane,Café,Plage,Architecture,Bu,Clôture,Drome,Potentiel,Maison,jouets,Clé,Sandwich
3/26/2022 17:00:51,Oui,Femme,18 - 25,La France,Master ou équivalent,Chien,Rencontrées,Abîmé,Disparu,Contrat,Anniversaire,Construit,Diamants,Sucre,Gorge ,Menthe,Photos,Fruits,Arbre,Tram,Plage,Aviation,Mal,Chambre ,Région,Sens,Cours,pommes,Allumette ,Vêtement
3/26/2022 17:04:08,Oui,Femme,18 - 25,La France,Master ou équivalent,Chien,Rencontrées,Épais,Disparu,Contrat,Anniversaire ,Batie,Perles,Sucre,Gorge,Menthe,Photos,Framboises,Étalon,Traib,Plage,Industrie,Raté,Cuisine,Campagne,Problème ,Mairie,vetements,Carte,Foulard
3/26/2022 17:26:28,Oui,Femme,18 - 25,La France,Master ou équivalent,Chien,Rencontrées ,Usé,Disparu,Contrat,Anniversaire ,Construite,Perles,Sucre,Gorge,Menthe,Photos,Loukoums,Arbre,Thé,Plage,Industrie ,Paniqué ,Cabane,Jungle ,Dénouement ,Boutique ,Jouets,Cigarette ,Foulard
3/26/2022 17:43:38,Oui,Femme,18 - 25,La France,"BTS, DUT, licence ou équivalent",Chien,Rencontrées ,Abîmé,Disparu,Contrat,Anniversaire,Fabriquée ,Perles,Sucre,Gorge,Menthe,Photos,Pâtes ,Arbre,Café,Plage,Immobilier,Sommeil,Porte,Drôme ,Bon fond,Fenêtre ,Motos,Pochette,Manteau
3/26/2022 17:58:23,Oui,Femme,18 - 25,La France,Master ou équivalent,Chien,Rencontrées,Abimé,L'as de coeur,Contrat,Anniversaire,Construit,Perles,Sucre,Gorge,Marrocaine,Photos,Sushis,Écureuil,Temps,Plage,Audiovisuel,Signé,Salle à manger,Foret,Sens,Cathédrale,Multimedia,Cigarette,Manteau
