Word,phon,lemme,cgram,freqlemfilms2,freqfilms2,freqlivres,nbhomoph,islem,nblettres,nbsyll,cv-cv,cgramortho,pld20,Mlex puPhon,Mlex pld20,Mlex fb,Mlex ff,freq_comb,freq_comb_2,Word,nbphons,Pulexique,PUmMlex,maxPU,finalPU
cacao,kakao,cacao,NOM,1.3,1.29,1.42,2,1,5,3,CV-CV-V,NOM,1.9,5,1.9,1.42000002,1.29,0.432969294,0.620431704,cacao,5,5,5,5,TRUE
cavité,kavite,cavité,NOM,1.89,1.26,1.49,2,1,6,3,CV-CV-CV,NOM,1.9,6,1.9,1.49000002,1.26,0.439332697,0.632345916,cavité,6,6,6,6,TRUE
macchabée,makabe,macchabée,NOM,2.63,1.86,0.95,2,1,9,3,CV-CV-CV,NOM,1.9,6,1.9,0.94999999,1.86,0.448706318,0.650043678,macchabée,6,6,6,6,TRUE
aliment,alim@,aliment,NOM,4.67,1.11,1.76,2,1,7,3,V-CV-CV,NOM,1.4,5,1.8,1.75999999,1.11,0.457881895,0.667537725,aliment,5,5,5,5,TRUE
cabanon,kaban§,cabanon,NOM,1.27,1.26,1.69,2,1,7,3,CV-CV-CV,NOM,1.9,6,2.85,1.69,1.26,0.469822016,0.690554743,cabanon,6,6,6,6,TRUE
libido,libido,libido,NOM,1.79,1.79,1.22,1,1,6,3,CV-CV-CV,NOM,2.35,6,2.6,1.21999998,1.79,0.478566493,0.707592381,libido,6,6,6,6,TRUE
échafaud,eSafo,échafaud,NOM,0.85,0.85,2.23,2,1,8,3,V-CV-CV,NOM,1.9,5,2.2,2.22999998,0.85,0.488550714,0.727232514,échafaud,5,5,5,5,TRUE
célibat,seliba,célibat,NOM,1.75,1.75,1.35,1,1,7,3,CV-CV-CV,NOM,2.4,6,2.75,1.34999999,1.75,0.491361692,0.732798005,célibat,6,6,6,6,TRUE
chimpanzé,S5p@ze,chimpanzé,NOM,2.35,1.96,1.15,2,1,9,3,CV-CV-CV,NOM,2.9,1,2.9,1.15,1.96,0.492760389,0.73557319,chimpanzé,6,3,1,3,FALSE
nullité,nylite,nullité,NOM,1.2,0.96,2.16,2,1,7,3,CV-CV-CV,NOM,2.2,5,2.25,2.15999998,0.96,0.494154591,0.738343351,nullité,6,5,5,5,FALSE
ramassis,Ramasi,ramassis,NOM,1.5,1.5,1.62,1,1,8,3,CV-CV-CV,NOM,1.7,6,1.95,1.61999999,1.5,0.494154593,0.738343354,ramassis,6,6,6,6,TRUE
vétéran,veteR@,vétéran,NOM,3.84,1.86,1.28,2,1,7,3,CV-CV-CV,NOM,1.95,6,2.45,1.28000002,1.86,0.496929651,0.743868729,vétéran,6,6,6,6,TRUE
apogée,apoZe,apogée,NOM,1.4,1.4,1.76,1,1,6,3,V-CV-CV,NOM,1.85,4,1.85,1.75999999,1.4,0.499687081,0.74937426,apogée,5,4,4,4,FALSE
