Serial_num,ortho,phon,cgram,freqlemfilms2,freqfilms2,freqlemlivres,freqlivres,p_cvcv,cvcv,nbsyll,nblettres,freq_mism,freq,mismatch,freq_sum,freq_cat,LPC,word_code
81118,laquelle,lakEl,PRO:int,68.94,1.99,185.27,2.91,CVCVC,CVCVVCCV,2,8,H_1,5.557252681960304,1,259.11,H,la-kE-l,5401-1431-540/
108539,punir,pyniR,VER,41.7,13.82,20.14,8.45,CVCVC,CVCVC,2,5,H_1,4.432125465974346,1,84.11,H,py-ni-R,0040-3221-240/
32617,courage,kuRaZ,NOM,70.73,70.7,70.34,69.8,CVCVC,CVVCVCV,2,7,H_1,5.640381084517819,1,281.57,H,ku-Ra-Z,1430-2401-030/
131684,tableau,tablo,NOM,50.11,37.8,90.0,57.84,CVCCV,CVCCVVV,2,7,H_1,5.462771921513567,1,235.75,H,ta-b-lo,4201-300/-5400
63203,forcer,fORse,VER,64.64,16.33,75.41,18.04,CVCCV,CVCCVC,2,6,H_1,5.161466183798839,1,174.42,H,fO-R-se,4130-240/-2241
21644,carton,kaRt§,NOM,16.01,10.92,44.86,34.8,CVCCV,CVCCVC,2,6,H_1,4.668989698701045,1,106.59,H,ka-R-t§,1401-240/-4222
133277,tendance,t@d@s,NOM,12.98,10.95,20.88,14.26,CVCVC,CVCCVCCV,2,8,H_1,4.078723181319144,1,59.07,H,t@-d@-s,4222-0222-220/
27405,commande,kom@d,NOM,31.36,19.41,18.72,12.64,CVCVC,CVCCVCCV,2,8,H_1,4.408303357752101,1,82.13,H,ko-m@-d,1400-4022-020/
26808,colère,kolER,NOM,68.9,67.91,100.07,92.77,CVCVC,CVCVCV,2,6,H_1,5.798031485559308,1,329.65,H,ko-lE-R,1400-5431-240/
114785,régime,ReZim,NOM,19.43,18.52,39.73,36.69,CVCVC,CVCVCV,2,6,H_1,4.7394388067931255,1,114.37,H,Re-Zi-m,2441-0321-400/
122683,salaire,salER,NOM,26.43,22.99,12.5,8.92,CVCVC,CVCVVCV,2,7,H_1,4.260423812914633,1,70.84,H,sa-lE-R,2201-5431-240/
89874,montrer,m§tRe,VER,327.33,136.2,276.55,81.15,CVCCV,CVCCCVC,2,7,H_1,6.710803216382034,1,821.2299999999999,H,m§-t-Re,4022-420/-2441
87135,mensonge,m@s§Z,NOM,61.05,33.64,35.41,21.89,CVCVC,CVCCVCCV,2,8,H_1,5.02381472920837,1,151.99,H,m@-s§-Z,4022-2222-030/
65514,futur,fytyR,ADJ,23.2,9.41,36.35,13.92,CVCVC,CVCVC,2,5,H_1,4.417393778511173,1,82.88000000000001,H,fy-ty-R,4140-4240-240/
121823,routine,Rutin,NOM,12.14,11.67,12.77,9.53,CVCVC,CVVCVCV,2,7,H_1,3.8310298462186143,1,46.11,H,Ru-ti-n,2430-4221-320/
114864,régler,Regle,VER,85.81,42.27,54.19,22.36,CVCCV,CVCCVC,2,6,H_1,5.321203470334738,1,204.63,H,Re-g-le,2441-640/-5441
37713,défaire,defER,VER,12.3,5.26,32.23,10.14,CVCVC,CVCVVCV,2,7,H_1,4.093177214470094,1,59.93,H,de-fE-R,0241-4131-240/
83507,lunette,lynEt,NOM,33.33,1.71,75.27,7.43,CVCVC,CVCVCCV,2,7,H_1,4.768478803600115,1,117.74,H,ly-nE-t,5440-3231-420/
91899,navire,naviR,NOM,21.98,15.83,50.2,28.04,CVCVC,CVCVCV,2,6,H_1,4.754021132720446,1,116.05,H,na-vi-R,3201-1121-240/
135371,tourner,tuRne,VER,204.15,51.05,377.09,68.78,CVCCV,CVVCCVC,2,7,H_1,6.552607739395825,1,701.0699999999999,H,tu-R-ne,4230-240/-3241
97636,parler,paRle,VER,1970.55,728.02,1086.01,341.82,CVCCV,CVCCVC,2,6,H_1,8.32516063512708,1,4126.4,H,pa-R-le,0001-240/-5441
99591,percer,pERse,VER,15.77,6.19,42.03,11.22,CVCCV,CVCCVC,2,6,H_1,4.320284200838312,1,75.21000000000001,H,pE-R-se,0031-240/-2241
122678,salade,salad,NOM,21.8,15.88,24.26,15.41,CVCVC,CVCVCV,2,6,H_1,4.348340577019075,1,77.35,H,sa-la-d,2201-5401-020/
125306,serpent,sERp@,NOM,32.2,20.91,21.08,13.24,CVCCV,CVCCVCC,2,7,H_1,4.470838473192799,1,87.42999999999999,H,sE-R-p@,2231-240/-0022
46204,doubler,duble,VER,15.29,4.65,22.84,4.39,CVCCV,CVVCCVC,2,7,H_1,3.85375809729617,1,47.17,H,du-b-le,0230-300/-5441
15422,bipède,bipEd,NOM,0.78,0.58,0.47,0.2,CVCVC,CVCVCV,2,6,L_1,0.7080357930536959,1,2.03,L,bi-pE-d,3021-0031-020/
24405,chiffrer,SifRe,VER,0.64,0.19,1.01,0.27,CVCCV,CCVCCCVC,2,8,L_1,0.7466879474879753,1,2.1100000000000003,L,Si-f-Re,5321-410/-2441
85989,masseur,mas9R,NOM,1.94,0.7,1.69,1.15,CVCVC,CVCCVVC,2,7,L_1,1.7011051009599245,1,5.48,L,ma-s9-R,4001-2202-240/
140529,vexant,vEks@,ADJ,0.4,0.39,1.01,0.74,CVCCV,CVCVCC,2,6,L_1,0.9321640810304452,1,2.54,L,vE-k-s@,1131-140/-2222
127382,soufflé,sufle,NOM,1.33,0.86,1.22,1.22,CVCCV,CVVCCCV,2,7,L_1,1.5325568680981427,1,4.63,L,su-f-le,2230-410/-5441
81497,lécheur,leS9R,NOM,0.47,0.3,0.34,0.14,CVCVC,CVCCVVC,2,7,L_1,0.2231435513142097,1,1.25,L,le-S9-R,5441-5302-240/
139245,vandale,v@dal,NOM,1.14,0.33,0.88,0.47,CVCVC,CVCCVCV,2,7,L_1,1.0367368849500225,1,2.8200000000000003,L,v@-da-l,1122-0201-540/
69768,guépard,gepaR,NOM,0.44,0.27,0.74,0.34,CVCVC,CVVCVCC,2,7,L_1,0.5822156198526637,1,1.79,L,ge-pa-R,6441-0001-240/
82664,litige,litiZ,NOM,0.78,0.57,1.42,0.74,CVCVC,CVCVCV,2,6,L_1,1.2556160374777745,1,3.51,L,li-ti-Z,5421-4221-030/
130735,surfait,syRfE,ADJ,0.46,0.38,0.34,0.14,CVCCV,CVCCVVC,2,7,L_1,0.2776317365982797,1,1.3200000000000005,L,sy-R-fE,2240-240/-4131
59892,fadeur,fad9R,NOM,0.32,0.32,1.82,1.49,CVCVC,CVCVVC,2,6,L_1,1.3737155789130306,1,3.95,L,fa-d9-R,4101-0202-240/
84379,malaise,malEz,ADJ,0.41,0.38,1.42,1.42,CVCVC,CVCVVCV,2,7,L_1,1.289232648276759,1,3.63,L,ma-lE-z,4001-5431-120/
124597,segment,sEgm@,NOM,0.69,0.36,1.42,0.88,CVCCV,CVCCVCC,2,7,L_1,1.2089603458369749,1,3.35,L,sE-g-m@,2231-640/-4022
31603,coquard,kokaR,NOM,0.34,0.3,0.41,0.34,CVCVC,CVCVVCC,2,7,L_1,0.3293037471426004,1,1.39,L,ko-ka-R,1400-1401-240/
134734,tonique,tonik,ADJ,0.4,0.35,1.82,1.55,CVCVC,CVCVCVV,2,7,L_1,1.415853163361435,1,4.12,L,to-ni-k,4200-3221-140/
68091,gothique,gotik,NOM,0.66,0.57,1.49,1.35,CVCVC,CVCCVCVV,2,8,L_1,1.4036429994545037,1,4.07,L,go-ti-k,6400-4221-140/
63732,fourchu,fuRSy,ADJ,0.75,0.17,1.42,0.27,CVCCV,CVVCCCV,2,7,L_1,0.959350221334602,1,2.61,L,fu-R-Sy,4130-240/-5340
34980,cynique,sinik,NOM,1.01,0.92,1.69,1.15,CVCVC,CVCVCVV,2,7,L_1,1.5623463049002495,1,4.77,L,si-ni-k,2221-3221-140/
134449,titrer,titRe,VER,1.75,0.03,1.08,0.34,CVCCV,CVCCVC,2,6,L_1,1.1631508098056809,1,3.2,L,ti-t-Re,4221-420/-2441
90526,moulage,mulaZ,NOM,0.8,0.53,1.15,0.54,CVCVC,CVVCVCV,2,7,L_1,1.1052568313867783,1,3.02,L,mu-la-Z,4030-5401-030/
133744,têtard,tEtaR,NOM,0.86,0.68,1.89,0.34,CVCVC,CVCVCC,2,6,L_1,1.3270750014599193,1,3.77,L,tE-ta-R,4231-4201-240/
134454,titré,titRe,ADJ,0.46,0.28,0.61,0.2,CVCCV,CVCCV,2,5,L_1,0.4382549309311553,1,1.55,L,ti-t-Re,4221-420/-2441
23162,changeur,S@Z9R,NOM,0.47,0.42,0.61,0.41,CVCVC,CCVCCVVC,2,8,L_1,0.6471032420585384,1,1.91,L,S@-Z9-R,5322-0302-240/
99697,perdant,pERd@,ADJ,1.87,1.07,1.42,1.01,CVCCV,CVCCVCC,2,7,L_1,1.6808279085207734,1,5.37,L,pE-R-d@,0031-240/-0222
134420,titane,titan,NOM,1.69,1.69,0.2,0.2,CVCVC,CVCVCV,2,6,L_1,1.3297240096314964,1,3.78,L,ti-ta-n,4221-4201-320/
87717,métis,metis,ADJ,0.56,0.34,0.95,0.41,CVCVC,CVCVC,2,5,L_1,0.8153648132841946,1,2.26,L,me-ti-s,4041-4221-220/
84662,mammaire,mamER,ADJ,0.58,0.2,0.14,0.07,CVCVC,CVCCVVCV,2,8,L_1,-0.0100503358535014,1,0.99,L,ma-mE-R,4001-4031-240/
63248,forfait,fORfE,VER,0.94,0.94,0.68,0.68,CVCCV,CVCCVVC,2,7,L_1,1.175573329804238,1,3.24,L,fO-R-fE,4130-240/-4131
66877,gêneur,ZEn9R,NOM,0.95,0.85,1.01,0.54,CVCVC,CVCVVC,2,6,L_1,1.2089603458369749,1,3.35,L,ZE-n9-R,0331-3202-240/
13524,barème,baREm,NOM,0.31,0.17,0.54,0.34,CVCVC,CVCVCV,2,6,L_1,0.3074846997479607,1,1.36,L,ba-RE-m,3001-2431-400/
23339,charade,SaRad,NOM,0.53,0.12,0.74,0.27,CVCVC,CCVCVCV,2,7,L_1,0.506817602368452,1,1.66,L,Sa-Ra-d,5301-2401-020/
99663,perçu,pERsy,ADJ,0.31,0.09,1.35,0.47,CVCCV,CVCCV,2,5,L_1,0.797507195884188,1,2.22,L,pE-R-sy,0031-240/-2240
20246,calquer,kalke,VER,0.36,0.03,1.35,0.2,CVCCV,CVCCVVC,2,7,L_1,0.6626879730752369,1,1.94,L,ka-l-ke,1401-540/-1441
132127,tangente,t@Z@t,NOM,0.35,0.35,1.15,0.88,CVCVC,CVCCVCCV,2,8,L_1,1.0043016091968684,1,2.73,L,t@-Z@-t,4222-0322-420/
